Strategy for uncertainty,Definition,category,Example 1,Example 2,Example 3,Related strategies and aliases,Notes,Note 2,ref-note,reference1,reference2
Risk portfolio approach,Balance investments between different risks and opportunities to improve overall risk,formal - algo,An investment manager builds a portfolio of investments to consider their risk and returns as well as their correlations,A student applies to multiple colleges - some selective and some not selective - to maximize his outcome,Ecosystems use a porfolio in a variety of settings,rK strategy,,,,https://doi.org/10.1890/140275,
rK strategy,Grow by either producing a large number of offsprings or few highly-capable ones,formal - algo,A computer science student studies 5 different programming languages in order to ensure at least one successful job placement,A CEO focuses the entire product development budget in one major initiative,,,,,,https://doi.org/10.1146/annurev-ecolsys-110321-055345,
Robustness analysis,Evaluate a solution and its feasibility against uncertainty in parameters of the problem,formal - workflow,Chemical engineers evaluated their solution's robustness by evaluating the effect of parameters,Any other application of linear programming,,,,,,10.1007/PL00011380,10.1287/orms.2021.02.08/full/
Sacrificial part,Design where functions and flows that are critical to system operation are protected through the sacrifice of less critical functions and flow exports,config - system,An electrical engineer installs a fuse that will burn if there is a high current protecting the system behind it,A lawyer creates a legal entity (e.g. corporation or subsidiary) that bears risks to shield its owners from legal or financial risks,,firebreak; lifeboat,,,Short et al. 2017,https://link.springer.com/article/10.1007/s00163-017-0258-3,
Safety culture,"Create an organization culture that advances hazard prevention, investigation and mitigation",config - org,A construction site manager increases safety culture by paying workers to improve site safety,A medical center does not penalize for reporting of mistakes,,,,,,https://www.cdc.gov/niosh/learning/safetyculturehc/module-1/4.html,https://doi.org/10.1002/9781119443070.ch28
Sandboxing / Firewalling,"Limit the operation of system to narrow domain of environments, users or inputs to mitigate unexpected behaviors or dangerous inputs",config - system,Operate a new AI system only on well-tested data,Manager allow only well-trained workers to operate a forklift,Parents don't let kids play with matches to prevent fires,Eliminate input variables,,,,https://www.voguebusiness.com/fashion/gannis-copenhagen-show-put-ai-on-display-but-not-in-its-collection,
Self-disablement,"Disarming mechanism - programmed self-disablement, self-disarmament or self-destruction",config - system,Anti-personel mine has a timer that disables it to prevent accidental harm to own forces or non-combatants,Self-driving vehicle automatically parks if it finds itself in a situation it can't manage,,safe fail,,,,https://doi.org/10.1177/004711789601300203,
Simplify,"Use simple solutions, designs and plans",formal - workflow,Japanese attacks often failed because of poor timing of multiple strike forces,Mechanical engineer reduces the number of components in the system,A software engineer uses APIs to reduce the complexity and risk of individual interfaces,,is this configurational org or system? the idea is the same in both. it's even a meta strategy since it advises on any other strategy,,,https://doi.org/10.4324/9780429425394,https://doi.org/10.1109/EDOC.2008.13
Stand-off response system,System that interdicts impacting events before their arrival,reactive - respond,An air defense system fires interceptors to destroy attacking vehicles,"Upon detection of a denial of service attack, CISO blocks traffic from select IP addresses and networks",,,,,,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003053798-6/deep-strike-new-technologies-conventional-interdiction-per-berg-gunilla-herolf,https://apps.dtic.mil/sti/pdfs/ADA630564.pdf
Standard operating procedures,Define standard operating procedures or plans for routine and exceptional situations,config - org,A plant engineers writes a manual for performing maintenance,An air traffic control officer writes procedures for handling emergency calls,A medical administrator writes standard operating procedures for managing certain emergency,use default action,,,,https://doi.org/10.21668/health.risk/2018.2.15.eng,
Statistical modeling,Develop models of past data (e.g. average and outlier) in order to estimate the likelihood and risk of hazardous events,formal - algo,A bank's risk officer develops a model of large price movements based on historical data,An epidemiologist rolls out a public advisory for an influenza emergency once the number of monthly cases doubles from average month,,,,,,Gelman and Hill (9780521686891),
Statistical process control,Apply statistical modeling to monitor and control the quality of a production process,formal - algo,An industrial engineer uses SPC to prevent defects in car parts,"Similar, in aerospace engineering",,,,,,Oakland (0-7506-5766-9),
Stochastic search,Optimize system design or operation by exploring different solutions particularly when preparing to uncertainty,formal - algo,A nuclear engineer uses stochastic optimization to optimize the design of a reactor for performance and safety,A facilitary planner uses a genetic algorithm to improve the location of supply facilities,,,Reinforcement learning in our usage involves real-world testing rather than computational optimization,,,Spall (9780471441908),
Strategy enablement,Enable new strategies in future decision points,enabler,A government planner invests in basic research in order to enable better cyber-response technologies,A cyber researcher tests experimental algorithms to detect intrusion,A financial firm develops an index enabling new futures trading,optionality,research and development is merely one version of enablement,,,Existing literature is concerned with narrow types of enablement such as R&D or the psychology of discounting https://doi.org/10.1002/mde.2548 https://doi.org/10.1002/sys.10051,
Strengthen weakest link,Reduce the risk of failure by finding and strengthening the weakest component,config - system,An electrical engineer strengthens a circruit by strengthening the weakest component,A road planner reduces congestion by increasing throughput in the most congested component,,,,,,https://doi.org/10.4018/IJRCM.2015070101,
Swim lanes,Divide responsibilities in clear defined roles to reduce uncertainty about areas of responsibility and accountability,config - org,An executive assigns his managers to well-defined individual swim lanes to avoid possible conflicts,,,delegation,,,,https://doi.org/10.1177/184797902412286,
System modeling (mathematical-predictive-computational),Using a model develop a description of the system its environment in order to improve its design,formal - algo,A supply chain manager develops a stock-and-flow model of a supply chain in order to optimize purchases and inventory levels,"A nuclear reactor engineer stochastically simulates the flow of coolant in the reactor using software, and determines the risk of heat damaging reactor components",,,,,,Meerschaert (9780123869968),
Take another swing,Improve the odds of favoriable outcomes by repeating trials,harnessing,A hiring manager interviews a large number of candidates to find one real star,A job applicant sends out his resume to many different positions to ensure he lands one,A particle physicist repeats an experiment multiple times in order to observe one special particle event,,The goal is finding one candidate (1-p)^N phenomenon vs. funnel of N*p cases where it's pure growth,,,https://doi.org/10.1007/BF02458840,
Tighten component tolerances,Increase the quality requirements of system components in order to reduce risk of failures,config - system,An car engineer requires higher precision in parts to prevent visual defects in the final look of the car,"Similar, in aerospace engineering",,,,,,10.1115/DETC2003/CIE-48179,
Trap risktaker,"When playing against a risk-taking opponent, set up traps",adversarial; harnessing,"Because Xerses was confident of victory, themistocles sets up a trap for the Persian fleet in Salamis",a poker player traps a loose aggressive player,,,,,,https://doi.org/10.1007/s10899-009-9168-2,
Trial-and-error,At attempt different actions with little or no guidance until a satisfactory action is found,formal - workflow,"A company board (or manager) assigns a position to different people, until finding someone who performs satisfactorily (e.g. Lincoln and his generals)","A doctor was not able to establish a diagnosis from testing, instead attempts different treatments until one works",,,,,,https://doi.org/10.1016/j.shpsc.2016.09.003,
Unicorn hunting,"in selecting lotteries (i.e. bets), seek lotteries that sometimes give extreme positive returns even when the typical pay has low value",harnessing,A VC fund seeks investments that can produce 100x return on investment,"A scientist pursues an improbably hypothesis that if proven true, would revolutionalize treatment for a disease",,,,,,https://doi.org/10.3905/jpm.2019.1.112,
Use the default action,Respond to unexpected events by invoking the default action or standard operating procedure with minimal analysis of alternatives,formal - workflow,"Upon receiving an letter, an employee calls his manager for guidance",A purchasing officer extends the contract with the current vendor without evaluating alternatives,,A type of heuristic,,,,https://doi.org/10.21668/health.risk/2018.2.15.eng,
User screening and training,Screen and train operators of a system in order to reduce risks from system operations,config - org,A factory manager requires training of all operators of heavy machines,A police department does a thorough background investigation of all applicants,,,,,,https://doi.org/10.1016/j.promfg.2015.07.409,
Wait and see,Do nothing until the situation changes or new information comes to light,formal - workflow,"An established brokerage upon seeing a new asset class does not offer it to clients immediately, but rather waits to see clear indications of demand","A general upon seeing intelligence information, decides to wait for more intelligence to arrive before adjusting his plans or forces",,,,,,https://doi.org/10.1111/1540-5885.1920159,
Wait for opportunities,Delay action until the timing is more favorable,harnessing,General plays the defense until a gap opens in enemy lines,investor waits to buy when the market dips,,,,,,https://doi.org/10.1111/eufm.12465,
